feature,importance_gain,importance_split
AMT_PAY_YEAR,10198.3014129137,483.4
EXT_SOURCE_1,18511.72281931142,399.8666666666667
EXT_SOURCE_3,45099.49622008726,386.9333333333333
EXT_SOURCE_2,59317.05760831157,364.6666666666667
DAYS_BIRTH,4044.533805167923,269.06666666666666
prev_score_mean,27962.22839104682,209.6
AGE_EMPLOYED,2359.1136433115853,206.73333333333335
DAYS_EMPLOYED,7215.536453794812,202.13333333333335
DAYS_ID_PUBLISH,1775.6872381736837,188.33333333333334
REGION_POPULATION_RELATIVE,1388.109809378162,171.86666666666665
prev_active_sum_AMT_LEFT,1651.7365097800891,170.6
AGE_PAYOFF,3112.452181551916,170.4
NEW_EMPLOY_TO_BIRTH_RATIO,3301.858873057924,170.26666666666668
AMT_ANNUITY,2746.9724704560513,167.0
month_score_sum,10141.947015399795,162.13333333333335
inst_DAYS_LAST_LATE,1228.2299724603693,161.13333333333335
AMT_DIFF_CREDIT_GOODS,4801.933388991654,159.33333333333331
buro_score_recent2y_sum,5343.961457629315,158.73333333333335
house_score_y,3804.4056528136134,156.93333333333334
buro_score_sum,14804.478035012382,150.13333333333335
prev_max_DAYS_LAST_DUE,1782.8106027071676,143.06666666666666
bureau_active_avg_AMT_DEBT_RATIO,2192.873066172997,141.86666666666665
pos_score,2520.4159434954327,141.8
inst_sum_DBD_SCALE,1919.478978904026,141.0
DAYS_REGISTRATION,998.2455445049951,140.33333333333334
month_score_mean,11125.156137069065,138.93333333333334
bureau_sum_AMT_CREDIT_SUM,1249.0773139032224,134.73333333333332
AMT_ANNUITY_to_prev_approved,2728.291366411497,134.33333333333334
buro_score_mean,12362.698205088265,133.73333333333332
bureau_recent_DAYS_CREDIT_ENDDATE,1049.274772090527,130.4
inst_mean_DPD_SCALE,4257.470806882779,130.4
prev_max_DAYS_LAST_DUE_1ST_VERSION,2271.741982873529,130.2
bureau_recent_AMT_CREDIT_SUM,838.8317338235677,128.8
Total_AMT_ANNUITY,1362.0555053180706,128.2
AMT_ANNUITY_INCOME_RATE,1453.2646168554825,128.2
inst_score,1157.8648773401976,128.0
inst_var_DBD,758.9906166413177,126.6
ORGANIZATION_TYPE,1046.1788751453162,125.8
OWN_CAR_AGE,2741.3722973763943,124.86666666666667
bureau_recent_AMT_DEBT_RATIO,2006.8676381448906,121.8
bureau_avg_DAYS_ENDDATE_FACT,795.5184509969006,119.2
prev_active_sum_AMT_PAY_YEAR_LEFT,1478.6250530838965,117.73333333333332
inst_sum_AMT_PAYMENT_SCALE,1834.2975698866571,117.2
AMT_CREDIT_GOODS_PERC,5251.7652927468225,116.73333333333332
bureau_active_avg_AMT_CREDIT_LEFT,972.8876595097285,116.4
DAYS_LAST_PHONE_CHANGE,1334.8539034686983,115.66666666666667
Total_CREDIT,1742.8979333462812,112.4
bureau_active_sum_AMT_CREDIT_LEFT,1309.7625863090157,111.93333333333332
